Time(s)	kb1X	kb1Y	kb2X	kb2Y	kb3X	kb3Y	kb4X	kb4Y	kb5X	kb5Y	kb6X	kb6Y	kb7X	kb7Y	kb8X	kb8Y	kb9X	kb9Y	kb10X	kb10Y	kb11X	kb11Y	kb12X	kb12Y	kb13X	kb13Y	kb14X	kb14Y	kb15X	kb15Y	kb16X	kb16Y	kb17X	kb17Y	kb18X	kb18Y	kb19X	kb19Y	kb20X	kb20Y	kb21X	kb21Y	kb22X	kb22Y	kb23X	kb23Y	kb24X	kb24Y	kb25X	kb25Y	
21	0.70387	1.00157	0.659472	0.943156	0.609807	0.889852	0.559172	0.840441	0.508699	0.793853	0.655367	1.03561	0.60966	0.98963	0.560767	0.93881	0.509978	0.888382	0.458704	0.839458	0.609809	1.08658	0.560543	1.04037	0.512086	0.990026	0.461232	0.939529	0.409387	0.88993	0.558861	1.13903	0.510222	1.09068	0.459945	1.04091	0.411081	0.9898	0.358294	0.940053	0.50763	1.18452	0.459468	1.13893	0.409602	1.08894	0.359062	1.03906	0.309061	0.988939	
22	0.710041	1.00029	0.665522	0.941418	0.615738	0.887689	0.565053	0.838079	0.514537	0.791588	0.661084	1.03316	0.615402	0.987211	0.566682	0.93671	0.515848	0.886233	0.464518	0.837255	0.615509	1.08386	0.566398	1.03814	0.518126	0.988054	0.467215	0.937504	0.41527	0.887841	0.564632	1.13672	0.516113	1.08856	0.465878	1.039	0.417096	0.987849	0.364129	0.937971	0.51319	1.18165	0.465227	1.13647	0.415451	1.0867	0.364922	1.03692	0.314884	0.986566	
23	0.715413	1.00103	0.670929	0.941767	0.621176	0.887636	0.57051	0.837893	0.519919	0.791417	0.666385	1.03281	0.620581	0.986911	0.572083	0.936701	0.521223	0.886184	0.469857	0.837146	0.62092	1.08332	0.571787	1.03804	0.523602	0.9882	0.472653	0.937618	0.420636	0.887849	0.569969	1.13652	0.521496	1.08857	0.471233	1.03917	0.42254	0.988004	0.369449	0.937977	0.51852	1.18091	0.470603	1.13616	0.420837	1.08659	0.370283	1.03691	0.320291	0.986342	
24	0.717846	1.00189	0.675921	0.943955	0.626342	0.889435	0.575693	0.839708	0.525007	0.793261	0.671361	1.03458	0.625623	0.98863	0.577255	0.938374	0.526386	0.887801	0.474911	0.838962	0.626176	1.08482	0.576941	1.03974	0.528858	0.989871	0.477905	0.939175	0.425768	0.889536	0.57509	1.13815	0.526642	1.09027	0.476366	1.04083	0.42778	0.989621	0.37454	0.939636	0.52377	1.1822	0.47574	1.13787	0.42597	1.08833	0.375412	1.03859	0.325424	0.988142	
25	0.723016	1.00333	0.681298	0.944617	0.631773	0.889655	0.581142	0.840086	0.530366	0.793773	0.67635	1.03661	0.630963	0.989019	0.582654	0.938351	0.53176	0.887727	0.480236	0.839348	0.631427	1.08504	0.582331	1.03982	0.534333	0.989753	0.48334	0.938946	0.431134	0.889554	0.580431	1.13823	0.532026	1.09031	0.481723	1.04075	0.433223	0.989438	0.37986	0.939636	0.529148	1.18215	0.481115	1.13822	0.431355	1.08852	0.380775	1.03863	0.330818	0.988582	
26	0.726433	1.00307	0.68464	0.943886	0.635066	0.888675	0.584452	0.839133	0.533647	0.792897	0.679526	1.03776	0.634211	0.988089	0.585881	0.937237	0.534966	0.886603	0.483474	0.838415	0.631555	1.08505	0.585549	1.03871	0.537615	0.988648	0.486591	0.937817	0.434352	0.888479	0.583614	1.13713	0.535248	1.08922	0.484944	1.03969	0.436493	0.988356	0.383051	0.938571	0.532318	1.18093	0.484377	1.13726	0.434595	1.08748	0.383991	1.03756	0.33411	0.987669	
27	0.731979	1.00185	0.689666	0.942461	0.640186	0.886919	0.589269	0.837056	0.538401	0.790881	0.683115	1.03862	0.639288	0.985956	0.591059	0.935208	0.540151	0.884564	0.488603	0.83631	0.634065	1.08372	0.590608	1.03644	0.542744	0.986789	0.491846	0.935897	0.439528	0.886521	0.5886	1.13477	0.540413	1.08714	0.490214	1.03783	0.441706	0.986552	0.388255	0.936615	0.537243	1.17817	0.489515	1.13492	0.439785	1.08529	0.389225	1.03549	0.339303	0.98544	
28	0.738632	1.0004	0.69621	0.940608	0.646631	0.884685	0.595556	0.834349	0.544612	0.788191	0.689664	1.04016	0.645505	0.983357	0.597376	0.932733	0.546438	0.882086	0.494817	0.833743	0.640022	1.08068	0.596799	1.03369	0.549199	0.984461	0.498262	0.933574	0.445835	0.884114	0.594688	1.13191	0.546697	1.08463	0.496574	1.03559	0.448164	0.984326	0.394525	0.934246	0.543143	1.17486	0.495687	1.13214	0.446028	1.08266	0.395511	1.03305	0.345548	0.982761	
29	0.744254	0.999936	0.70179	0.939832	0.652174	0.883576	0.601034	0.83286	0.550001	0.786661	0.694853	1.04202	0.650892	0.981945	0.602834	0.931411	0.55187	0.880763	0.500193	0.832339	0.644344	1.07921	0.602189	1.03216	0.554767	0.983278	0.503796	0.932412	0.451273	0.882854	0.599994	1.13026	0.552135	1.08329	0.502036	1.03449	0.453718	0.983227	0.399922	0.933017	0.548347	1.1728	0.501061	1.13056	0.451444	1.08123	0.400942	1.03178	0.350976	0.981277	
30	0.74917	1.00173	0.706977	0.941397	0.657473	0.884808	0.606414	0.833792	0.555324	0.787475	0.696003	1.04215	0.656162	0.982888	0.608143	0.932417	0.557154	0.881765	0.505452	0.833266	0.649758	1.07973	0.607317	1.03295	0.560131	0.98443	0.509132	0.93354	0.456537	0.883919	0.60529	1.13096	0.557421	1.08433	0.507272	1.03567	0.459052	0.984397	0.405138	0.934088	0.553721	1.17307	0.506164	1.13132	0.456749	1.08217	0.406196	1.03286	0.356312	0.982179	
